key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,regime_lo,regime_hi
sub20_k5_simple,xgb_cal,under_failure,2,0.006579,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.145650,0.021717,0.150000,0.850000
sub20_k5_simple,xgb_cal,informative,281,0.924342,0.387900,False,0.711169,0.573746,0.490000,0.538462,0.449541,0.637011,0.028221,0.010076,0.150000,0.850000
sub20_k5_simple,xgb_cal,saturated,21,0.069079,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.109157,0.022588,0.150000,0.850000
sub20_k5_simple,xgb_cal,aggregate,304,1.000000,0.427632,False,0.759063,0.711739,0.578512,0.625000,0.538462,0.664474,0.024651,0.011017,0.150000,0.850000
sub20_k5_constrained,xgb_cal,under_failure,12,0.039604,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.197916,0.041741,0.150000,0.850000
sub20_k5_constrained,xgb_cal,informative,291,0.960396,0.168385,False,0.891044,0.618638,0.647059,0.622642,0.673469,0.876289,0.017546,0.007492,0.150000,0.850000
sub20_k5_constrained,xgb_cal,saturated,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub20_k5_constrained,xgb_cal,aggregate,303,1.000000,0.161716,False,0.894504,0.618136,0.647059,0.622642,0.673469,0.881188,0.022521,0.008848,0.150000,0.850000
sub20_k3_simple,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub20_k3_simple,xgb_cal,informative,19,0.062914,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.805263,0.650234,0.150000,0.850000
sub20_k3_simple,xgb_cal,saturated,283,0.937086,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.974205,0.950895,0.150000,0.850000
sub20_k3_simple,xgb_cal,aggregate,302,1.000000,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.963576,0.931979,0.150000,0.850000
sub20_k3_constrained,xgb_cal,under_failure,0,0.000000,,True,,,,,,,,,0.150000,0.850000
sub20_k3_constrained,xgb_cal,informative,44,0.145695,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.815152,0.665152,0.150000,0.850000
sub20_k3_constrained,xgb_cal,saturated,258,0.854305,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.927907,0.862584,0.150000,0.850000
sub20_k3_constrained,xgb_cal,aggregate,302,1.000000,1.000000,True,,,0.000000,0.000000,0.000000,0.000000,0.911479,0.833819,0.150000,0.850000
