key,delta,comparison,n_pairs,median_diff,mean_diff,n_better,n_worse,n_tied,statistic,p_value,p_adjusted,significant_at_0.05,direction
sub05_k3_constrained,3,xgb_cal_deployable_vs_uniform,30,-0.004000,-0.004622,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,3,benefit_model_deployable_vs_uniform,30,0.019667,0.019333,0,30,0,0.000000,0.000002,0.000003,True,worse
sub05_k3_constrained,4,oracle_vs_uniform,30,-0.006667,-0.006733,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,4,xgb_cal_vs_uniform,30,-0.006667,-0.006844,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,4,xgb_cal_deployable_vs_uniform,30,-0.008000,-0.008311,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,4,benefit_model_deployable_vs_uniform,30,-0.003000,-0.003022,27,1,2,6.000000,0.000007,0.000011,True,better
sub05_k3_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k3_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k3_simple,1,xgb_cal_deployable_vs_uniform,30,0.000667,0.000511,0,16,14,0.000000,0.000378,0.000554,True,worse
sub05_k3_simple,2,oracle_vs_uniform,30,-0.017667,-0.017933,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,2,xgb_cal_vs_uniform,30,-0.021333,-0.020578,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,2,xgb_cal_deployable_vs_uniform,30,-0.044333,-0.044289,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,2,benefit_model_deployable_vs_uniform,30,-0.000667,-0.000733,17,10,3,118.500000,0.089776,0.100695,False,ns
sub05_k3_simple,3,oracle_vs_uniform,30,-0.008000,-0.008578,29,1,0,1.000000,0.000002,0.000004,True,better
sub05_k3_simple,3,xgb_cal_vs_uniform,30,-0.012000,-0.010978,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,3,xgb_cal_deployable_vs_uniform,30,-0.037333,-0.035533,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,3,benefit_model_deployable_vs_uniform,30,0.019667,0.020311,0,30,0,0.000000,0.000002,0.000003,True,worse
sub05_k3_simple,4,oracle_vs_uniform,30,-0.040667,-0.040444,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,4,xgb_cal_vs_uniform,30,-0.048000,-0.047178,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,4,xgb_cal_deployable_vs_uniform,30,-0.063000,-0.062244,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_simple,4,benefit_model_deployable_vs_uniform,30,0.004333,0.005200,2,26,2,6.500000,0.000008,0.000011,True,worse
sub05_k5_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,2,xgb_cal_deployable_vs_uniform,30,0.000000,-0.000311,14,7,9,66.000000,0.083123,0.099934,False,ns
sub05_k5_constrained,2,benefit_model_deployable_vs_uniform,30,0.000667,0.000444,1,17,12,14.500000,0.001596,0.001892,True,worse
sub05_k5_constrained,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,3,xgb_cal_deployable_vs_uniform,30,0.000000,0.000022,2,3,25,6.000000,0.683091,0.702796,False,ns
sub05_k5_constrained,3,benefit_model_deployable_vs_uniform,30,0.001333,0.001311,0,25,5,0.000000,0.000011,0.000016,True,worse
sub05_k5_constrained,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_constrained,4,xgb_cal_deployable_vs_uniform,30,0.000000,0.000067,10,12,8,113.500000,0.672212,0.698317,False,ns
sub05_k5_constrained,4,benefit_model_deployable_vs_uniform,30,0.001333,0.001311,0,26,4,0.000000,0.000008,0.000011,True,worse
sub05_k5_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000133,0,6,24,0.000000,0.024358,0.031401,True,worse
sub05_k5_simple,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,2,xgb_cal_deployable_vs_uniform,30,-0.000667,-0.000622,18,3,9,18.500000,0.000723,0.001045,True,better
sub05_k5_simple,2,benefit_model_deployable_vs_uniform,30,0.000667,0.000622,1,17,12,7.000000,0.000602,0.000724,True,worse
sub05_k5_simple,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,3,xgb_cal_deployable_vs_uniform,30,0.000000,0.000089,9,9,12,77.000000,0.709134,0.722642,False,ns
sub05_k5_simple,3,benefit_model_deployable_vs_uniform,30,0.002000,0.002244,0,30,0,0.000000,0.000002,0.000003,True,worse
sub05_k5_simple,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k5_simple,4,xgb_cal_deployable_vs_uniform,30,0.000000,-0.000111,10,6,14,57.500000,0.584775,0.613441,False,ns
sub05_k5_simple,4,benefit_model_deployable_vs_uniform,30,0.002667,0.002289,0,29,1,0.000000,0.000002,0.000004,True,worse
sub09_k3_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k3_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k3_constrained,1,xgb_cal_deployable_vs_uniform,30,0.003667,0.003778,0,30,0,0.000000,0.000002,0.000004,True,worse
sub09_k3_constrained,2,oracle_vs_uniform,30,-0.001333,-0.000956,20,8,2,59.000000,0.000945,0.001336,True,better
sub09_k3_constrained,2,xgb_cal_vs_uniform,30,0.000000,-0.000467,14,7,9,66.500000,0.087317,0.101288,False,ns
sub09_k3_constrained,2,xgb_cal_deployable_vs_uniform,30,-0.004000,-0.003778,24,4,2,10.000000,0.000011,0.000020,True,better
sub09_k3_constrained,2,benefit_model_deployable_vs_uniform,30,-0.003667,-0.003600,27,2,1,23.500000,0.000027,0.000036,True,better
sub09_k3_constrained,3,oracle_vs_uniform,30,0.000000,-0.000089,12,10,8,107.500000,0.533152,0.562233,False,ns
sub09_k3_constrained,3,xgb_cal_vs_uniform,30,0.000667,0.000267,8,16,6,103.000000,0.174943,0.198955,False,ns
sub09_k3_constrained,3,xgb_cal_deployable_vs_uniform,30,0.004333,0.004311,3,27,0,27.500000,0.000025,0.000041,True,worse
sub09_k3_constrained,3,benefit_model_deployable_vs_uniform,30,0.005667,0.004889,1,29,0,2.000000,0.000002,0.000004,True,worse
sub09_k3_constrained,4,oracle_vs_uniform,30,-0.005000,-0.004689,29,0,1,0.000000,0.000003,0.000005,True,better
sub09_k3_constrained,4,xgb_cal_vs_uniform,30,-0.002667,-0.002444,24,4,2,34.000000,0.000117,0.000175,True,better
sub09_k3_constrained,4,xgb_cal_deployable_vs_uniform,30,-0.005000,-0.004733,26,2,2,16.000000,0.000020,0.000035,True,better
sub09_k3_constrained,4,benefit_model_deployable_vs_uniform,30,-0.005333,-0.005356,27,3,0,9.500000,0.000004,0.000007,True,better
sub09_k3_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k3_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k3_simple,1,xgb_cal_deployable_vs_uniform,30,0.004000,0.003733,0,30,0,0.000000,0.000002,0.000004,True,worse
sub09_k3_simple,2,oracle_vs_uniform,30,-0.016000,-0.015956,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,2,xgb_cal_vs_uniform,30,-0.012000,-0.012022,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,2,xgb_cal_deployable_vs_uniform,30,-0.026333,-0.027156,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,2,benefit_model_deployable_vs_uniform,30,-0.027333,-0.027200,30,0,0,0.000000,0.000002,0.000003,True,better
sub09_k3_simple,3,oracle_vs_uniform,30,-0.001333,-0.001133,19,8,3,95.000000,0.023660,0.028006,True,better
sub09_k3_simple,3,xgb_cal_vs_uniform,30,0.005000,0.004800,0,29,1,0.000000,0.000003,0.000004,True,worse
sub09_k3_simple,3,xgb_cal_deployable_vs_uniform,30,0.004667,0.004933,1,28,1,3.500000,0.000004,0.000007,True,worse
sub09_k3_simple,3,benefit_model_deployable_vs_uniform,30,0.005333,0.006067,0,30,0,0.000000,0.000002,0.000003,True,worse
sub09_k3_simple,4,oracle_vs_uniform,30,-0.042667,-0.043622,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,4,xgb_cal_vs_uniform,30,-0.022667,-0.025222,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,4,xgb_cal_deployable_vs_uniform,30,-0.030000,-0.031311,30,0,0,0.000000,0.000002,0.000004,True,better
sub09_k3_simple,4,benefit_model_deployable_vs_uniform,30,-0.032000,-0.031889,30,0,0,0.000000,0.000002,0.000003,True,better
sub09_k5_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000244,0,8,22,0.000000,0.010613,0.014375,True,worse
sub09_k5_constrained,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,2,xgb_cal_deployable_vs_uniform,30,-0.002000,-0.001667,23,7,0,55.500000,0.000266,0.000395,True,better
sub09_k5_constrained,2,benefit_model_deployable_vs_uniform,30,0.000667,0.001089,1,23,6,17.000000,0.000139,0.000169,True,worse
sub09_k5_constrained,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,3,xgb_cal_deployable_vs_uniform,30,0.000667,0.000867,3,21,6,34.000000,0.000872,0.001244,True,worse
sub09_k5_constrained,3,benefit_model_deployable_vs_uniform,30,0.004667,0.004533,0,30,0,0.000000,0.000002,0.000003,True,worse
sub09_k5_constrained,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_constrained,4,xgb_cal_deployable_vs_uniform,30,0.001333,0.000800,7,18,5,76.500000,0.020536,0.027128,True,worse
sub09_k5_constrained,4,benefit_model_deployable_vs_uniform,30,0.004000,0.004556,0,30,0,0.000000,0.000002,0.000003,True,worse
sub09_k5_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000289,0,11,19,0.000000,0.003027,0.004152,True,worse
sub09_k5_simple,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,2,xgb_cal_deployable_vs_uniform,30,-0.002000,-0.002089,26,3,1,20.500000,0.000020,0.000035,True,better
sub09_k5_simple,2,benefit_model_deployable_vs_uniform,30,0.004000,0.003756,0,30,0,0.000000,0.000002,0.000003,True,worse
sub09_k5_simple,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub09_k5_simple,3,xgb_cal_deployable_vs_uniform,30,-0.000667,-0.000600,16,5,9,51.000000,0.024035,0.031363,True,better
sub09_k5_simple,3,benefit_model_deployable_vs_uniform,30,0.012000,0.012156,0,30,0,0.000000,0.000002,0.000003,True,worse
sub09_k5_simple,4,oracle_vs_uniform,30,0.000000,-0.000000,1,1,28,1.000000,0.654721,0.678104,False,ns
sub09_k5_simple,4,xgb_cal_vs_uniform,30,0.000000,-0.000044,2,0,28,0.000000,0.179712,0.200449,False,ns
sub09_k5_simple,4,xgb_cal_deployable_vs_uniform,30,-0.001000,-0.001244,21,4,5,27.000000,0.000256,0.000385,True,better
sub09_k5_simple,4,benefit_model_deployable_vs_uniform,30,0.011667,0.012067,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k3_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k3_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k3_constrained,1,xgb_cal_deployable_vs_uniform,30,0.009333,0.008933,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,2,oracle_vs_uniform,30,-0.002000,-0.001844,21,4,5,32.000000,0.000434,0.000630,True,better
sub12_k3_constrained,2,xgb_cal_vs_uniform,30,0.004667,0.004822,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,2,xgb_cal_deployable_vs_uniform,30,0.005000,0.005000,1,28,1,3.000000,0.000003,0.000007,True,worse
sub12_k3_constrained,2,benefit_model_deployable_vs_uniform,30,0.004000,0.004044,1,28,1,5.500000,0.000004,0.000007,True,worse
sub12_k3_constrained,3,oracle_vs_uniform,30,-0.002000,-0.002178,29,0,1,0.000000,0.000002,0.000005,True,better
sub12_k3_constrained,3,xgb_cal_vs_uniform,30,0.007333,0.007667,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,3,xgb_cal_deployable_vs_uniform,30,0.015333,0.015778,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,3,benefit_model_deployable_vs_uniform,30,0.016333,0.015489,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k3_constrained,4,oracle_vs_uniform,30,-0.004333,-0.004889,30,0,0,0.000000,0.000002,0.000004,True,better
sub12_k3_constrained,4,xgb_cal_vs_uniform,30,0.008000,0.008333,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,4,xgb_cal_deployable_vs_uniform,30,0.009333,0.009911,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_constrained,4,benefit_model_deployable_vs_uniform,30,0.009667,0.009778,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k3_simple,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k3_simple,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k3_simple,1,xgb_cal_deployable_vs_uniform,30,0.008667,0.009067,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,2,oracle_vs_uniform,30,-0.006667,-0.007267,30,0,0,0.000000,0.000002,0.000004,True,better
sub12_k3_simple,2,xgb_cal_vs_uniform,30,0.012000,0.012111,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,2,xgb_cal_deployable_vs_uniform,30,0.007000,0.006756,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,2,benefit_model_deployable_vs_uniform,30,0.003333,0.003356,4,24,2,31.500000,0.000093,0.000117,True,worse
sub12_k3_simple,3,oracle_vs_uniform,30,-0.006667,-0.006756,29,0,1,0.000000,0.000003,0.000005,True,better
sub12_k3_simple,3,xgb_cal_vs_uniform,30,0.034667,0.034689,0,30,0,0.000000,0.000002,0.000004,True,worse
