key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,min_class_n
sub05_k3_constrained,logistic_regression,informative,66,0.044000,0.075758,False,0.600000,0.113982,0.000000,0.000000,0.000000,0.878788,0.326946,0.120864,5.000000
sub05_k3_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_constrained,logistic_regression,aggregate,1500,1.000000,0.003333,False,0.877191,0.032114,0.000000,0.000000,0.000000,0.992667,0.040550,0.008350,5.000000
sub05_k3_constrained,cnn,under_failure,1434,0.956000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.011323,0.001209,0.000000
sub05_k3_constrained,cnn,informative,66,0.044000,0.075758,False,0.422951,0.074021,0.000000,0.000000,0.000000,0.924242,0.258991,0.076520,5.000000
sub05_k3_constrained,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_constrained,cnn,aggregate,1500,1.000000,0.003333,False,0.900468,0.023169,0.000000,0.000000,0.000000,0.996667,0.000862,0.004523,5.000000
sub09_k5_simple,xgboost,under_failure,1489,0.992667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001034,0.000948,0.000000
sub09_k5_simple,xgboost,informative,11,0.007333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.108737,0.012399,0.000000
sub09_k5_simple,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_simple,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000229,0.001032,0.000000
sub09_k5_simple,random_forest,under_failure,1489,0.992667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000740,0.000930,0.000000
sub09_k5_simple,random_forest,informative,11,0.007333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.106898,0.011925,0.000000
sub09_k5_simple,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_simple,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000050,0.001011,0.000000
sub09_k5_simple,logistic_regression,under_failure,1489,0.992667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.027889,0.001853,0.000000
sub09_k5_simple,logistic_regression,informative,11,0.007333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.176463,0.031689,0.000000
sub09_k5_simple,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_simple,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.028979,0.002072,0.000000
