key,delta,model,tf_forced,tf_abstain,abstained,val_gain_pp,gain_forced_pp,gain_abstain_pp,p_forced,p_abstain,p_adj_forced,p_adj_abstain,direction_forced,direction_abstain
sub09_k3_constrained,3,benefit,0.05,0,True,-0.608889,-0.488889,0,2.10306e-06,,3.56232e-06,,worse,ns
sub09_k3_constrained,4,risk,0.05,0.05,False,0.526667,0.473333,0.473333,2.0199e-05,2.0199e-05,3.47336e-05,4.34576e-05,better,better
sub09_k3_constrained,4,benefit,0.05,0.05,False,0.48,0.535556,0.535556,4.46574e-06,4.46574e-06,6.864e-06,7.30757e-06,better,better
sub09_k3_simple,1,risk,0.05,0,True,-0.364444,-0.373333,0,1.68374e-06,,3.70228e-06,,worse,ns
sub09_k3_simple,2,risk,0.3,0.3,False,2.61111,2.71556,2.71556,1.72677e-06,1.72677e-06,3.70228e-06,4.90177e-06,better,better
sub09_k3_simple,2,benefit,0.3,0.3,False,2.66,2.72,2.72,1.72677e-06,1.72677e-06,3.0571e-06,3.11603e-06,better,better
sub09_k3_simple,3,risk,0.05,0,True,-0.453333,-0.493333,0,3.68418e-06,,7.30013e-06,,worse,ns
sub09_k3_simple,3,benefit,0.05,0,True,-0.52,-0.606667,0,1.70729e-06,,3.0571e-06,,worse,ns
sub09_k3_simple,4,risk,0.3,0.3,False,3.07556,3.13111,3.13111,1.73004e-06,1.73004e-06,3.70228e-06,4.90177e-06,better,better
sub09_k3_simple,4,benefit,0.3,0.3,False,3.08667,3.18889,3.18889,1.73004e-06,1.73004e-06,3.0571e-06,3.11603e-06,better,better
sub09_k5_constrained,1,risk,0.05,0,True,-0.0311111,-0.0244444,0,0.0106132,,0.0143748,,worse,ns
sub09_k5_constrained,2,risk,0.3,0.3,False,0.237778,0.166667,0.166667,0.000266055,0.000266055,0.000395387,0.000452293,better,better
sub09_k5_constrained,2,benefit,0.05,0,True,-0.144444,-0.108889,0,0.000138789,,0.000169404,,worse,ns
sub09_k5_constrained,3,risk,0.05,0,True,-0.0733333,-0.0866667,0,0.000871821,,0.0012438,,worse,ns
sub09_k5_constrained,3,benefit,0.05,0,True,-0.426667,-0.453333,0,1.69227e-06,,3.0571e-06,,worse,ns
sub09_k5_constrained,4,risk,0.1,0,True,-0.0155556,-0.08,0,0.0205361,,0.0271279,,worse,ns
sub09_k5_constrained,4,benefit,0.05,0,True,-0.397778,-0.455556,0,1.67842e-06,,3.0571e-06,,worse,ns
sub09_k5_simple,1,risk,0.05,0,True,-0.0311111,-0.0288889,0,0.003027,,0.00415243,,worse,ns
sub09_k5_simple,2,risk,0.1,0.1,False,0.193333,0.208889,0.208889,1.99224e-05,1.99224e-05,3.47336e-05,4.34576e-05,better,better
sub09_k5_simple,2,benefit,0.05,0,True,-0.377778,-0.375556,0,1.68907e-06,,3.0571e-06,,worse,ns
sub09_k5_simple,3,risk,0.05,0.05,False,0.0377778,0.06,0.06,0.024035,0.024035,0.0313627,0.0340496,better,better
sub09_k5_simple,3,benefit,0.05,0,True,-1.20444,-1.21556,0,1.70514e-06,,3.0571e-06,,worse,ns
sub09_k5_simple,4,risk,0.05,0.05,False,0.111111,0.124444,0.124444,0.000255526,0.000255526,0.000385088,0.000452293,better,better
sub09_k5_simple,4,benefit,0.05,0,True,-1.20889,-1.20667,0,1.70407e-06,,3.0571e-06,,worse,ns
sub12_k3_constrained,1,risk,0.05,0,True,-0.817778,-0.893333,0,1.6848e-06,,3.70228e-06,,worse,ns
sub12_k3_constrained,2,risk,0.05,0,True,-0.435556,-0.5,0,3.43054e-06,,6.92581e-06,,worse,ns
sub12_k3_constrained,2,benefit,0.05,0,True,-0.442222,-0.404444,0,4.37796e-06,,6.85606e-06,,worse,ns
sub12_k3_constrained,3,risk,0.05,0,True,-1.60667,-1.57778,0,1.71053e-06,,3.70228e-06,,worse,ns
sub12_k3_constrained,3,benefit,0.05,0,True,-1.68,-1.54889,0,1.71593e-06,,3.0571e-06,,worse,ns
sub12_k3_constrained,4,risk,0.05,0,True,-0.944444,-0.991111,0,1.71593e-06,,3.70228e-06,,worse,ns
sub12_k3_constrained,4,benefit,0.05,0,True,-0.857778,-0.977778,0,1.69977e-06,,3.0571e-06,,worse,ns
sub12_k3_simple,1,risk,0.05,0,True,-0.868889,-0.906667,0,1.69334e-06,,3.70228e-06,,worse,ns
sub12_k3_simple,2,risk,0.05,0,True,-0.624444,-0.675556,0,1.6848e-06,,3.70228e-06,,worse,ns
sub12_k3_simple,2,benefit,0.05,0,True,-0.348889,-0.335556,0,9.303e-05,,0.000116992,,worse,ns
sub12_k3_simple,3,risk,0.05,0,True,-1.79556,-1.74222,0,1.71918e-06,,3.70228e-06,,worse,ns
sub12_k3_simple,3,benefit,0.05,0,True,-1.71556,-1.75556,0,1.70622e-06,,3.0571e-06,,worse,ns
sub12_k3_simple,4,risk,0.05,0,True,-1.36444,-1.30444,0,1.71701e-06,,3.70228e-06,,worse,ns
sub12_k3_simple,4,benefit,0.05,0,True,-0.742222,-0.731111,0,1.72243e-06,,3.0571e-06,,worse,ns
