sub_rate,coverage,gc_bin,hp_bin,n_simple,n_const,mean_ff_simple,mean_ff_constrained,within_cell_diff
0.180000,5,GC40-60%,HP=3,420,96,0.275714,0.289583,-0.013869
0.180000,5,GC40-60%,HP>=4,1010,0,0.346601,,
0.180000,5,GC60-80%,HP<=2,0,5,,0.293333,
0.180000,5,GC60-80%,HP=3,13,1,0.289744,0.333333,-0.043590
0.180000,5,GC60-80%,HP>=4,29,0,0.708046,,
0.180000,5,GC>=80%,HP<=2,0,0,,,
0.180000,5,GC>=80%,HP=3,0,0,,,
0.180000,5,GC>=80%,HP>=4,0,0,,,
0.180000,3,GC<20%,HP<=2,0,0,,,
0.180000,3,GC<20%,HP=3,0,0,,,
0.180000,3,GC<20%,HP>=4,0,0,,,
0.180000,3,GC20-40%,HP<=2,0,0,,,
0.180000,3,GC20-40%,HP=3,3,0,0.988889,,
0.180000,3,GC20-40%,HP>=4,14,0,1.000000,,
0.180000,3,GC40-60%,HP<=2,11,1398,0.775758,0.806199,-0.030442
0.180000,3,GC40-60%,HP=3,420,96,0.840714,0.869792,-0.029077
0.180000,3,GC40-60%,HP>=4,1010,0,0.964554,,
0.180000,3,GC60-80%,HP<=2,0,5,,0.993333,
0.180000,3,GC60-80%,HP=3,13,1,0.992308,1.000000,-0.007692
0.180000,3,GC60-80%,HP>=4,29,0,0.977011,,
0.180000,3,GC>=80%,HP<=2,0,0,,,
0.180000,3,GC>=80%,HP=3,0,0,,,
0.180000,3,GC>=80%,HP>=4,0,0,,,
0.200000,5,GC<20%,HP<=2,0,0,,,
0.200000,5,GC<20%,HP=3,0,0,,,
0.200000,5,GC<20%,HP>=4,0,0,,,
0.200000,5,GC20-40%,HP<=2,0,0,,,
0.200000,5,GC20-40%,HP=3,3,0,0.422222,,
0.200000,5,GC20-40%,HP>=4,14,0,0.888095,,
0.200000,5,GC40-60%,HP<=2,11,1398,0.372727,0.342322,0.030405
0.200000,5,GC40-60%,HP=3,420,96,0.434683,0.452431,-0.017748
0.200000,5,GC40-60%,HP>=4,1010,0,0.505974,,
0.200000,5,GC60-80%,HP<=2,0,5,,0.480000,
0.200000,5,GC60-80%,HP=3,13,1,0.443590,0.600000,-0.156410
0.200000,5,GC60-80%,HP>=4,29,0,0.826437,,
0.200000,5,GC>=80%,HP<=2,0,0,,,
0.200000,5,GC>=80%,HP=3,0,0,,,
0.200000,5,GC>=80%,HP>=4,0,0,,,
0.200000,3,GC<20%,HP<=2,0,0,,,
0.200000,3,GC<20%,HP=3,0,0,,,
0.200000,3,GC<20%,HP>=4,0,0,,,
0.200000,3,GC20-40%,HP<=2,0,0,,,
0.200000,3,GC20-40%,HP=3,3,0,1.000000,,
0.200000,3,GC20-40%,HP>=4,14,0,1.000000,,
0.200000,3,GC40-60%,HP<=2,11,1398,0.893939,0.910205,-0.016266
0.200000,3,GC40-60%,HP=3,420,96,0.929603,0.945833,-0.016230
0.200000,3,GC40-60%,HP>=4,1010,0,0.985842,,
0.200000,3,GC60-80%,HP<=2,0,5,,1.000000,
0.200000,3,GC60-80%,HP=3,13,1,0.994872,1.000000,-0.005128
0.200000,3,GC60-80%,HP>=4,29,0,0.990805,,
0.200000,3,GC>=80%,HP<=2,0,0,,,
0.200000,3,GC>=80%,HP=3,0,0,,,
0.200000,3,GC>=80%,HP>=4,0,0,,,
