stratum,coverage,encoding,src_rate,tgt_rate,src_key,tgt_key,delta,direction,ece_threshold,auroc_threshold,auroc_indist,auroc_transfer,auroc_drop,ece_indist,ece_transfer,ece_ratio,brier_indist,brier_transfer,n_info_src,n_info_tgt,degenerate_src,degenerate_tgt,is_robust
k5_constrained,5,constrained,0.200000,0.180000,sub20_k5_constrained,sub18_k5_constrained,0.020000,down,2.000000,0.050000,0.891044,0.992027,-0.100983,0.017546,0.131655,7.503540,0.007492,0.022551,291,222,False,False,False
k3_simple,3,simple,0.010000,0.050000,sub01_k3_simple,sub05_k3_simple,0.040000,up,2.000000,0.050000,,0.500000,,,0.287647,,,0.090634,0,170,True,False,False
k3_simple,3,simple,0.010000,0.090000,sub01_k3_simple,sub09_k3_simple,0.080000,up,2.000000,0.050000,,0.500000,,,0.669231,,,0.469170,0,182,True,False,False
k3_simple,3,simple,0.010000,0.120000,sub01_k3_simple,sub12_k3_simple,0.110000,up,2.000000,0.050000,,0.500000,,,0.391389,,,0.206176,0,120,True,False,False
k3_simple,3,simple,0.050000,0.010000,sub05_k3_simple,sub01_k3_simple,0.040000,down,2.000000,0.050000,0.961310,,,0.023208,,,0.006206,,170,0,False,True,False
k3_simple,3,simple,0.050000,0.090000,sub05_k3_simple,sub09_k3_simple,0.040000,up,2.000000,0.050000,0.961310,0.958483,0.002826,0.023208,0.421615,18.166739,0.006206,0.187433,170,182,False,False,False
k3_simple,3,simple,0.050000,0.120000,sub05_k3_simple,sub12_k3_simple,0.070000,up,2.000000,0.050000,0.961310,0.974815,-0.013505,0.023208,0.321955,13.872537,0.006206,0.131510,170,120,False,False,False
k3_simple,3,simple,0.050000,0.150000,sub05_k3_simple,sub15_k3_simple,0.100000,up,2.000000,0.050000,0.961310,0.545870,0.415440,0.023208,0.498314,21.471594,0.006206,0.258358,170,108,False,False,False
k3_simple,3,simple,0.090000,0.010000,sub09_k3_simple,sub01_k3_simple,0.080000,down,2.000000,0.050000,0.963273,,,0.025317,,,0.007439,,182,0,False,True,False
k3_simple,3,simple,0.090000,0.050000,sub09_k3_simple,sub05_k3_simple,0.040000,down,2.000000,0.050000,0.963273,0.985119,-0.021846,0.025317,0.444535,17.558919,0.007439,0.203890,182,170,False,False,False
k3_simple,3,simple,0.090000,0.120000,sub09_k3_simple,sub12_k3_simple,0.030000,up,2.000000,0.050000,0.963273,0.972222,-0.008949,0.025317,0.173139,6.838925,0.007439,0.036122,182,120,False,False,False
k3_simple,3,simple,0.090000,0.150000,sub09_k3_simple,sub15_k3_simple,0.060000,up,2.000000,0.050000,0.963273,0.646745,0.316528,0.025317,0.427874,16.900821,0.007439,0.192487,182,108,False,False,False
k3_simple,3,simple,0.090000,0.180000,sub09_k3_simple,sub18_k3_simple,0.090000,up,2.000000,0.050000,0.963273,,,0.025317,,,0.007439,,182,0,False,True,False
k3_simple,3,simple,0.090000,0.200000,sub09_k3_simple,sub20_k3_simple,0.110000,up,2.000000,0.050000,0.963273,,,0.025317,,,0.007439,,182,0,False,True,False
k3_simple,3,simple,0.120000,0.010000,sub12_k3_simple,sub01_k3_simple,0.110000,down,2.000000,0.050000,0.992593,,,0.043513,,,0.007740,,120,0,False,True,False
k3_simple,3,simple,0.120000,0.050000,sub12_k3_simple,sub05_k3_simple,0.070000,down,2.000000,0.050000,0.992593,0.913690,0.078902,0.043513,0.622461,14.305217,0.007740,0.393640,120,170,False,False,False
k3_simple,3,simple,0.120000,0.090000,sub12_k3_simple,sub09_k3_simple,0.030000,down,2.000000,0.050000,0.992593,0.962475,0.030118,0.043513,0.200219,4.601365,0.007740,0.047100,120,182,False,False,False
k3_simple,3,simple,0.120000,0.150000,sub12_k3_simple,sub15_k3_simple,0.030000,up,2.000000,0.050000,0.992593,0.735059,0.257534,0.043513,0.277404,6.375203,0.007740,0.086801,120,108,False,False,False
k3_simple,3,simple,0.120000,0.180000,sub12_k3_simple,sub18_k3_simple,0.060000,up,2.000000,0.050000,0.992593,,,0.043513,,,0.007740,,120,0,False,True,False
k3_simple,3,simple,0.120000,0.200000,sub12_k3_simple,sub20_k3_simple,0.080000,up,2.000000,0.050000,0.992593,,,0.043513,,,0.007740,,120,0,False,True,False
k3_simple,3,simple,0.150000,0.050000,sub15_k3_simple,sub05_k3_simple,0.100000,down,2.000000,0.050000,0.614008,0.821429,-0.207420,0.032661,0.686763,21.027010,0.009867,0.478827,108,170,False,False,False
k3_simple,3,simple,0.150000,0.090000,sub15_k3_simple,sub09_k3_simple,0.060000,down,2.000000,0.050000,0.614008,0.962076,-0.348067,0.032661,0.281231,8.610608,0.009867,0.087085,108,182,False,False,False
k3_simple,3,simple,0.150000,0.120000,sub15_k3_simple,sub12_k3_simple,0.030000,down,2.000000,0.050000,0.614008,0.994074,-0.380066,0.032661,0.228965,7.010361,0.009867,0.058691,108,120,False,False,False
k3_simple,3,simple,0.150000,0.180000,sub15_k3_simple,sub18_k3_simple,0.030000,up,2.000000,0.050000,0.614008,,,0.032661,,,0.009867,,108,0,False,True,False
k3_simple,3,simple,0.150000,0.200000,sub15_k3_simple,sub20_k3_simple,0.050000,up,2.000000,0.050000,0.614008,,,0.032661,,,0.009867,,108,0,False,True,False
k3_simple,3,simple,0.180000,0.090000,sub18_k3_simple,sub09_k3_simple,0.090000,down,2.000000,0.050000,,0.500000,,,0.669231,,,0.469170,0,182,True,False,False
k3_simple,3,simple,0.180000,0.120000,sub18_k3_simple,sub12_k3_simple,0.060000,down,2.000000,0.050000,,0.500000,,,0.391389,,,0.206176,0,120,True,False,False
k3_simple,3,simple,0.180000,0.150000,sub18_k3_simple,sub15_k3_simple,0.030000,down,2.000000,0.050000,,0.500000,,,0.532716,,,0.295288,0,108,True,False,False
k3_simple,3,simple,0.180000,0.200000,sub18_k3_simple,sub20_k3_simple,0.020000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k3_simple,3,simple,0.200000,0.090000,sub20_k3_simple,sub09_k3_simple,0.110000,down,2.000000,0.050000,,0.500000,,,0.669231,,,0.469170,0,182,True,False,False
k3_simple,3,simple,0.200000,0.120000,sub20_k3_simple,sub12_k3_simple,0.080000,down,2.000000,0.050000,,0.500000,,,0.391389,,,0.206176,0,120,True,False,False
k3_simple,3,simple,0.200000,0.150000,sub20_k3_simple,sub15_k3_simple,0.050000,down,2.000000,0.050000,,0.500000,,,0.532716,,,0.295288,0,108,True,False,False
k3_simple,3,simple,0.200000,0.180000,sub20_k3_simple,sub18_k3_simple,0.020000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k3_constrained,3,constrained,0.010000,0.050000,sub01_k3_constrained,sub05_k3_constrained,0.040000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k3_constrained,3,constrained,0.010000,0.090000,sub01_k3_constrained,sub09_k3_constrained,0.080000,up,2.000000,0.050000,,0.500000,,,0.367568,,,0.201622,0,37,True,False,False
k3_constrained,3,constrained,0.010000,0.120000,sub01_k3_constrained,sub12_k3_constrained,0.110000,up,2.000000,0.050000,,0.500000,,,0.256693,,,0.070525,0,254,True,False,False
k3_constrained,3,constrained,0.050000,0.010000,sub05_k3_constrained,sub01_k3_constrained,0.040000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k3_constrained,3,constrained,0.050000,0.090000,sub05_k3_constrained,sub09_k3_constrained,0.040000,up,2.000000,0.050000,,1.000000,,,0.270602,,,0.098436,0,37,True,False,False
